example_id                                                        | status | run_time        |
----------------------------------------------------------------- | ------ | --------------- |
./spec/decorators/order_meals/order_meal_decorator_spec.rb[1:1:1] | passed | 0.14371 seconds |
./spec/decorators/order_meals/order_meal_decorator_spec.rb[1:2:1] | passed | 0.16527 seconds |
./spec/decorators/order_meals/order_meal_decorator_spec.rb[1:2:2] | passed | 0.17027 seconds |
./spec/facades/menus/new_facade_spec.rb[1:1:1]                    | passed | 0.00216 seconds |
./spec/facades/menus/new_facade_spec.rb[1:2:1:1]                  | passed | 0.00206 seconds |
./spec/facades/menus/new_facade_spec.rb[1:2:2:1]                  | passed | 0.00143 seconds |
./spec/facades/menus/new_facade_spec.rb[1:3:1]                    | passed | 0.02763 seconds |
./spec/facades/menus/new_facade_spec.rb[1:4:1:1]                  | passed | 0.00723 seconds |
./spec/facades/menus/new_facade_spec.rb[1:4:2:1]                  | passed | 0.00135 seconds |
./spec/facades/menus/new_facade_spec.rb[1:5:1:1]                  | passed | 0.02565 seconds |
./spec/facades/menus/new_facade_spec.rb[1:5:2:1]                  | passed | 0.00199 seconds |
./spec/facades/orders/new_facade_spec.rb[1:1:1]                   | passed | 0.00621 seconds |
./spec/facades/orders/new_facade_spec.rb[1:2:1:1]                 | passed | 0.00678 seconds |
./spec/facades/orders/new_facade_spec.rb[1:2:2:1]                 | passed | 0.00574 seconds |
./spec/facades/orders/new_facade_spec.rb[1:3:1]                   | passed | 0.02014 seconds |
./spec/facades/orders/new_facade_spec.rb[1:4:1]                   | passed | 0.02145 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:1:1]         | passed | 0.04883 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:1:2]         | passed | 0.05474 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:1:1]       | passed | 0.05608 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:1:2]       | passed | 0.04651 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:2:1]       | passed | 0.05005 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:2:2]       | passed | 0.04596 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:3:1]       | passed | 0.05593 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:3:2]       | passed | 0.05592 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:4:1]       | passed | 0.05748 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:4:2]       | passed | 0.05676 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:5:1]       | passed | 0.0588 seconds  |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:5:2]       | passed | 0.0573 seconds  |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:6:1]       | passed | 0.05627 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:6:2]       | passed | 0.06802 seconds |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:7:1]       | passed | 0.0656 seconds  |
./spec/features/food_items/new_food_item_spec.rb[1:1:2:7:2]       | passed | 0.0585 seconds  |
./spec/features/food_items/new_food_item_spec.rb[1:2:1]           | passed | 0.03676 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:1:1]                   | passed | 0.37071 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:1:2]                   | passed | 0.38826 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:1:3]                   | passed | 0.35897 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:1:4:1]                 | passed | 0.33869 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:1:4:2]                 | passed | 0.32682 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:1:4:3]                 | passed | 0.31638 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:2:1:1]                 | passed | 0.40916 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:2:1:2]                 | passed | 0.25167 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:2:2:1]                 | passed | 0.34347 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:2:3:1]                 | passed | 0.36262 seconds |
./spec/features/menus/new_menu_spec.rb[1:1:2:3:2]                 | passed | 0.1974 seconds  |
./spec/features/menus/new_menu_spec.rb[1:2:1]                     | passed | 0.17067 seconds |
./spec/features/menus/new_menu_spec.rb[1:3:1]                     | passed | 0.13083 seconds |
./spec/features/orders/new_order_spec.rb[1:1:1:1]                 | passed | 0.35548 seconds |
./spec/features/orders/new_order_spec.rb[1:1:1:2]                 | passed | 0.33736 seconds |
./spec/features/orders/new_order_spec.rb[1:1:1:3]                 | passed | 0.3818 seconds  |
./spec/features/orders/new_order_spec.rb[1:1:2:1]                 | passed | 1.45 seconds    |
./spec/features/orders/new_order_spec.rb[1:2:1]                   | passed | 0.13726 seconds |
./spec/features/users/user_registration_spec.rb[1:1:1]            | passed | 0.04827 seconds |
./spec/features/users/user_registration_spec.rb[1:1:2]            | passed | 0.04775 seconds |
./spec/features/users/user_registration_spec.rb[1:2:1:1]          | passed | 0.03724 seconds |
./spec/features/users/user_registration_spec.rb[1:2:1:2]          | passed | 0.03189 seconds |
./spec/features/users/user_registration_spec.rb[1:2:2:1]          | passed | 0.03212 seconds |
./spec/features/users/user_registration_spec.rb[1:2:2:2]          | passed | 0.03008 seconds |
./spec/features/users/user_registration_spec.rb[1:2:3:1]          | passed | 0.06226 seconds |
./spec/features/users/user_registration_spec.rb[1:2:3:2]          | passed | 0.032 seconds   |
./spec/features/users/user_registration_spec.rb[1:2:4:1]          | passed | 0.03373 seconds |
./spec/features/users/user_registration_spec.rb[1:2:4:2]          | passed | 0.03324 seconds |
./spec/features/users/user_registration_spec.rb[1:2:5:1]          | passed | 0.04114 seconds |
./spec/features/users/user_registration_spec.rb[1:2:5:2]          | passed | 0.04127 seconds |
./spec/models/food_item_spec.rb[1:1]                              | passed | 0.00273 seconds |
./spec/models/food_item_spec.rb[1:2:1]                            | passed | 0.01425 seconds |
./spec/models/food_item_spec.rb[1:2:2]                            | passed | 0.02296 seconds |
./spec/models/food_item_spec.rb[1:2:3]                            | passed | 0.01534 seconds |
./spec/models/food_item_spec.rb[1:2:4]                            | passed | 0.00579 seconds |
./spec/models/food_item_spec.rb[1:2:5]                            | passed | 0.00595 seconds |
./spec/models/food_item_spec.rb[1:2:6]                            | passed | 0.0052 seconds  |
./spec/models/food_item_spec.rb[1:2:7]                            | passed | 0.01285 seconds |
./spec/models/food_item_spec.rb[1:2:8]                            | passed | 0.00682 seconds |
./spec/models/food_item_spec.rb[1:3:1]                            | passed | 0.0013 seconds  |
./spec/models/food_item_spec.rb[1:3:2]                            | passed | 0.00171 seconds |
./spec/models/food_item_spec.rb[1:3:3]                            | passed | 0.00134 seconds |
./spec/models/food_item_spec.rb[1:3:4]                            | passed | 0.00207 seconds |
./spec/models/meal_spec.rb[1:1:1]                                 | passed | 0.00194 seconds |
./spec/models/meal_spec.rb[1:1:2]                                 | passed | 0.00165 seconds |
./spec/models/meal_spec.rb[1:1:3]                                 | passed | 0.00085 seconds |
./spec/models/meal_spec.rb[1:1:4]                                 | passed | 0.00097 seconds |
./spec/models/meal_spec.rb[1:1:5]                                 | passed | 0.00091 seconds |
./spec/models/meal_spec.rb[1:2:1]                                 | passed | 0.00293 seconds |
./spec/models/meal_spec.rb[1:2:2]                                 | passed | 0.00273 seconds |
./spec/models/menu_spec.rb[1:1:1]                                 | passed | 0.0021 seconds  |
./spec/models/menu_spec.rb[1:1:2]                                 | passed | 0.00235 seconds |
./spec/models/menu_spec.rb[1:2:1]                                 | passed | 0.00105 seconds |
./spec/models/menu_spec.rb[1:2:2]                                 | passed | 0.00188 seconds |
./spec/models/menu_spec.rb[1:2:3]                                 | passed | 0.00076 seconds |
./spec/models/order_spec.rb[1:1:1]                                | passed | 0.00255 seconds |
./spec/models/order_spec.rb[1:2:1]                                | passed | 0.00109 seconds |
./spec/models/order_spec.rb[1:2:2]                                | passed | 0.00144 seconds |
./spec/models/order_spec.rb[1:2:3]                                | passed | 0.00111 seconds |
./spec/models/order_spec.rb[1:2:4]                                | passed | 0.00101 seconds |
./spec/models/user_spec.rb[1:1:1]                                 | passed | 0.00257 seconds |
./spec/models/user_spec.rb[1:1:2]                                 | passed | 0.00301 seconds |
./spec/models/user_spec.rb[1:2:1]                                 | passed | 0.00172 seconds |
./spec/operations/menus/create_spec.rb[1:1:1]                     | passed | 0.00275 seconds |
./spec/operations/orders/create_spec.rb[1:1:1]                    | passed | 0.00304 seconds |
./spec/policies/food_item_policy_spec.rb[1:1:1]                   | passed | 0.02276 seconds |
./spec/policies/food_item_policy_spec.rb[1:1:2]                   | passed | 0.02184 seconds |
./spec/policies/food_item_policy_spec.rb[1:1:3]                   | passed | 0.02113 seconds |
./spec/policies/food_item_policy_spec.rb[1:2:1]                   | passed | 0.01179 seconds |
./spec/policies/food_item_policy_spec.rb[1:2:2]                   | passed | 0.01663 seconds |
./spec/policies/food_item_policy_spec.rb[1:2:3]                   | passed | 0.01683 seconds |
./spec/policies/menu_policy_spec.rb[1:1:1]                        | passed | 0.02026 seconds |
./spec/policies/menu_policy_spec.rb[1:1:2]                        | passed | 0.02329 seconds |
./spec/policies/menu_policy_spec.rb[1:1:3]                        | passed | 0.0232 seconds  |
./spec/policies/menu_policy_spec.rb[1:2:1]                        | passed | 0.01426 seconds |
